Main Name	DrugBank:Identifiers	score	Human Intestinal Absorption	Blood Brain Barrier	P-glycoprotein Inhibition	Drug Induced Liver Injury	CYP3A4 Inhibition	CYP2C9 Inhibition	DrugBank:Routes	DrugBank:FDA Approved	Less than $500	Pediatric Safety
acetaminophen	{'cas-number': '103-90-2', 'ChEBI': '46195', 'ChEMBL': 'CHEMBL112', 'drugbank-id': 'DB00316', 'InChIKey': 'RZVAJINKPMORJF-UHFFFAOYSA-N', 'PubChem Compound': '1983', 'PubChem Substance': '46506142', 'unii': '362O9ITL9D'}	❌ NO MATCH	0.9927615137	0.9359446613	0.0124677374	0.2638209078	0.0318147688	0.0334468611	{'topical', 'ophthalmic', 'nasal', 'rectal', 'respiratory (inhalation)', 'not applicable', 'intravenous', 'oral'}	TRUE	TRUE	TRUE
aminocaproic acid	{'cas-number': '60-32-2', 'ChEBI': '57826', 'ChEMBL': 'CHEMBL1046', 'drugbank-id': 'DB00513', 'InChIKey': 'SLXKOJJOQWFEFD-UHFFFAOYSA-N', 'PubChem Compound': '564', 'PubChem Substance': '46506934', 'unii': 'U6F3787206'}	❌ NO MATCH	0.9852716439	0.6424099455	0.0077293073	0.0577206432	0.0006318753	0.0085677491	{'topical', 'intravenous', 'oral', 'dental'}	TRUE	TRUE	TRUE
amphetamine	{'cas-number': '300-62-9', 'ChEBI': '132233', 'ChEMBL': 'CHEMBL405', 'drugbank-id': 'DB00182', 'InChIKey': 'KWTSXDURSIMDCE-UHFFFAOYSA-N', 'PubChem Compound': '3007', 'PubChem Substance': '46506414', 'unii': 'CK833KGX7E'}	❌ NO MATCH	0.9963902622	0.9681729672	0.0182598499	0.0616114152	0.0078649683	0.0027632889	{'oral'}	TRUE	TRUE	TRUE
atropine	{'cas-number': '51-55-8', 'ChEBI': '78734', 'ChEMBL': 'CHEMBL517712', 'drugbank-id': 'DB00572', 'InChIKey': 'RKUNBYITZUJHSG-SPUOUPEWSA-N', 'PubChem Compound': '174174', 'PubChem Substance': '46507540', 'unii': '7C0697DR9I'}	❌ NO MATCH	0.9944595088	0.7493478984	0.0246297833	0.1218085569	0.0164320563	0.0032931543	{'endotracheal', 'ophthalmic', 'intramuscular', 'parenteral', 'subcutaneous', 'intramedullary', 'intravenous', 'oral'}	TRUE	TRUE	TRUE
auranofin	{'cas-number': '34031-32-8', 'ChEBI': '2922', 'ChEMBL': 'CHEMBL1366', 'drugbank-id': 'DB00995', 'InChIKey': 'AUJRCFUBUPVWSZ-XTZHGVARSA-M', 'PubChem Compound': '70788951', 'PubChem Substance': '46507010', 'unii': '3H04W2810V'}	❌ NO MATCH	0.9402915086	0.859124566	0.1618208518	0.3999644604	0.0156789912	0.0223481524	{'oral'}	TRUE	TRUE	TRUE
calcium chloride	{'cas-number': '10043-52-4', 'ChEBI': '3312', 'ChEMBL': 'CHEMBL1200668', 'drugbank-id': 'DB01164', 'InChIKey': 'UXVMQQNJUSDDNG-UHFFFAOYSA-L', 'PubChem Compound': '5284359', 'PubChem Substance': '46507257', 'unii': 'OFM21057LP'}	❌ NO MATCH	0.9872220764	0.9443112755	0.0240266812	0.1077332311	0.0062605379	0.0078550527	{'intrathecal', 'ophthalmic', 'topical', 'irrigation', 'intravenous', 'intraventricular', 'buccal', 'dental', 'intra-arterial', 'intraocular', 'parenteral', 'intraperitoneal', 'oral', 'hemodialysis'}	TRUE	TRUE	TRUE
chlorpheniramine	{'cas-number': '132-22-9', 'ChEBI': '52010', 'ChEMBL': 'CHEMBL505', 'drugbank-id': 'DB01114', 'InChIKey': 'SOYKEARSMXGVTM-UHFFFAOYSA-N', 'PubChem Compound': '2725', 'PubChem Substance': '46508253', 'unii': '3U6IO1965U'}	❌ NO MATCH	0.9963020718	0.8696336071	0.0876075894	0.0593945641	0.0303512595	0.0268539989	{'topical', 'nasal', 'intramuscular', 'parenteral', 'subcutaneous', 'not applicable', 'intravenous', 'oral'}	TRUE	TRUE	TRUE
clomipramine	{'cas-number': '303-49-1', 'ChEBI': '47780', 'ChEMBL': 'CHEMBL415', 'drugbank-id': 'DB01242', 'InChIKey': 'GDLIGKIOYRNHDA-UHFFFAOYSA-N', 'PubChem Compound': '2801', 'PubChem Substance': '46505157', 'unii': 'NUV44L116D'}	❌ NO MATCH	0.9976357421	0.9906996192	0.702459179	0.3639806252	0.0540604018	0.0160877643	{'oral'}	TRUE	TRUE	TRUE
fluoxetine	{'cas-number': '54910-89-3', 'ChEBI': '86990', 'ChEMBL': 'CHEMBL41', 'drugbank-id': 'DB00472', 'InChIKey': 'RTHCYVBBDHJXIQ-UHFFFAOYSA-N', 'PubChem Compound': '3386', 'PubChem Substance': '46507902', 'unii': '01K63SUP8D'}	❌ NO MATCH	0.9964001261	0.9584307697	0.4218854223	0.1507583697	0.2429653033	0.1805417506	{'not applicable', 'oral'}	TRUE	TRUE	TRUE
fosinopril	{'cas-number': '98048-97-6', 'ChEBI': '5163', 'ChEMBL': 'CHEMBL3039598', 'drugbank-id': 'DB00492', 'InChIKey': 'BIDNLKIUORFRQP-FLODCBCLSA-N', 'PubChem Compound': '55891', 'PubChem Substance': '46506495', 'unii': 'R43D2573WO'}	❌ NO MATCH	0.9372595226	0.6287022078	0.7496473329	0.4171265789	0.3520291221	0.2394181279	{'oral'}	TRUE	TRUE	TRUE
