DrugBank:Main Name,Score,Molecular Mechanism,Pathway modulated,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 1,Column 2,Column 3,Column 4,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22
Lubiprostone,#N/A,GABA A,slc12a2,,,,,,,,,,,,,,,,,,,,,,
Acetylcysteine,6,"GAT1, GABA A","slc6a1, gabrg2","stx1a, sting1, slc6a1, tbk1, gabrg2, slc12a2, prkcb, rnf34, cdk5, prkcg, grk3, rest, grk2, arrb2, kctd12, rgs4, rgs6",,,,,,,,,,,,,,,,,,,,,
Amitriptyline,6,"GAT1, GABA B","slc6a1, gabbr1","sting1, slc6a1, slc12a2, prkcb, gabbr1, rest, rgs4, rgs6",,,,,,,,,,,,,,,,,,,,,
Azelaic acid,6,GABA B,rest,rest,,,,,,,,,,,,,,,,,,,,,
Budesonide,6,GABA A,gabrg2,"stx1a, sting1, gabrg2, prkcb, grk2, arrb2, rgs4, rgs6",,,,,,,,,,,,,,,,,,,,,
Buspirone,6,GABA B,rest,rest,,,,,,,,,,,,,,,,,,,,,
Clonidine,6,GAT1,slc6a1,"stx1a, slc6a1, slc12a2, prkcb, grk3, arrb2",,,,,,,,,,,,,,,,,,,,,
Escitalopram,6,"GAT1, GABA A","stx1a, cdk5","stx1a, cdk5",,,,,,,,,,,,,,,,,,,,,
Fluvoxamine,6,"GABA A, GABA B","slc12a2, rest","slc12a2, rgs6, rest",,,,,,,,,,,,,,,,,,,,,
Gabapentin,6,"GAT1, GABA B","slc6a1, gabbr2","slc6a1, gabbr2",,,,,,,,,,,,,,,,,,,,,
Glutamic acid,6,"GAT1, GABA B","sting1, grk2","sting1, cdk5, prkcg, grk2, arrb2, rgs6",,,,,,,,,,,,,,,,,,,,,
Lovastatin,6,GAT1,slc6a1,"stx1a, slc6a1, slc12a2, prkcb, rnf34, cdk5, prkca, prkcg, rest, grk2, arrb2, kctd12, rgs4, mecp2, rgs6",,,,,,,,,,,,,,,,,,,,,
Metformin,6,"GAT1, GABA A","slc6a1, gabra1","stx1a, sting1, slc6a1, gabrg2, slc12a2, prkcb, gsk3b, rnf34, cdk5, gabra1, gabrb2, prkcg, rest, grk2, arrb2, kctd12, rgs4, rgs6",,,,,,,,,,,,,,,,,,,,,
Metoprolol,6,GABA A,gabrg2,"gabrg2, cdk5, grk3, rest, rgs6",,,,,,,,,,,,,,,,,,,,,
