DrugBank:Main Name,Score,Pre-clinician score,DrugBank:FDA Approved,Less than $500,Pediatric Safety,Blood Brain Barrier,P-glycoprotein Inhibition,Human Intestinal Absorption,Drug Induced Liver Injury,Have It,Screened It,Rescue,Eckenrode,Martinez,Souder,Drug Type,Therapeutic Category,Targeted Symptoms,Proteins of Interest,Available on MedChem
Naloxone,#N/A,,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,FALSE,,,,,Protein of interest modulator,,,FALSE
Hydroxyurea,#N/A,,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,FALSE,,,,,Protein of interest modulator,,,FALSE
Gemfibrozil,#N/A,,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,FALSE,,,,,Protein of interest modulator,,,FALSE
Ezetimibe,#N/A,,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,FALSE,,,,,Protein of interest modulator,,,FALSE
Acetylcysteine,6,3,TRUE,TRUE,TRUE,68.84013068%,0.62169445%,97.50061924%,21.03022993%,TRUE,FALSE,FALSE,"Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.","Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.","Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.",mucolytic,Protein of interest modulator,,DLG4,FALSE
Amitriptyline,6,3,TRUE,TRUE,TRUE,98.6974623%,69.32192991%,99.69217344%,19.81365699%,FALSE,FALSE,FALSE,"Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.","Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.","Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.",antidepressant,"Protein of interest modulator, Neurotransmitter modulator",,"RLIM, DLG4",FALSE
Betamethasone,6,3,TRUE,TRUE,TRUE,71.30232304%,17.04179436%,99.32225293%,17.05295288%,FALSE,FALSE,FALSE,"Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.","Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.","Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.",corticosteroid,Protein of interest modulator,,RLIM,FALSE
Budesonide,6,3,TRUE,TRUE,TRUE,97.07924453%,25.14899763%,99.23607114%,28.23980732%,FALSE,FALSE,FALSE,"Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.","Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.","Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.",corticosteroid,"Symptomatic relief, Protein of interest modulator","congenital laryngomalacia, arthrogryposis multiplex congenita, congenital vertical talus",,FALSE
Buspirone,6,3,TRUE,TRUE,TRUE,97.05618964%,32.64386712%,99.26834405%,17.8868901%,TRUE,FALSE,FALSE,"Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.","Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.","Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.",anxiolytic,Neurotransmitter modulator,,,FALSE
Clindamycin,6,3,TRUE,TRUE,TRUE,13.18479836%,52.26873862%,89.67617922%,31.32269302%,FALSE,FALSE,FALSE,"Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.","Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.","Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.",antibiotic,Symptomatic relief,esotropia,,FALSE
