Main Name,DrugBank:Main Name,Score,Pre-clinician score,DrugBank:FDA Approved,Less than $500,Pediatric Safety,Blood Brain Barrier,P-glycoprotein Inhibition,Human Intestinal Absorption,Drug Induced Liver Injury,Data Source
acetylcysteine,Acetylcysteine,6,3,1,TRUE,TRUE,0.7034662273,0.0076074889,0.974702805,0.2236968178,translator
amitriptyline,Amitriptyline,6,3,1,TRUE,TRUE,0.9853741907,0.6364623851,0.9964305376,0.1767503246,translator
betamethasone,Betamethasone,6,3,1,TRUE,TRUE,0.7752161812,0.1923858679,0.9903305771,0.2042639197,translator
budesonide,Budesonide,6,3,1,TRUE,TRUE,0.9636223767,0.3062558253,0.9896063076,0.3318807597,translator
buspirone,Buspirone,6,3,1,TRUE,TRUE,0.9588396899,0.2978615748,0.990095721,0.2107265381,translator
clonidine,Clonidine,6,3,1,TRUE,TRUE,0.929418871,0.0307148226,0.9941445552,0.262116253,translator
cyproheptadine,Cyproheptadine,6,3,1,TRUE,TRUE,0.9843614961,0.874519352,0.9948595359,0.279021743,translator
desvenlafaxine,Desvenlafaxine,6,3,1,TRUE,TRUE,0.815429114,0.0352334637,0.9937977782,0.064450482,translator
escitalopram,Escitalopram,6,3,1,TRUE,TRUE,0.9555898542,0.1684230577,0.9907953636,0.1229586279,translator
fluvoxamine,Fluvoxamine,6,3,1,TRUE,TRUE,0.9208800538,0.0741363769,0.9906936508,0.124746856,translator
gabapentin,Gabapentin,6,3,1,TRUE,TRUE,0.9204757894,0.0095279088,0.9904481574,0.1083756912,translator
glutamic acid,Glutamic acid,6,3,1,TRUE,TRUE,0.6275439232,0.0091290468,0.874713731,0.1536222546,translator
hydroxyzine,Hydroxyzine,6,3,1,TRUE,TRUE,0.9476536749,0.7076262313,0.9930162159,0.089941052,translator
loratadine,Loratadine,6,3,1,TRUE,TRUE,0.7326304912,0.9218331555,0.9964419367,0.2143834048,translator
lovastatin,Lovastatin,6,3,1,TRUE,TRUE,0.8120704812,0.8083677227,0.9928900115,0.236544359,translator
metformin,Metformin,6,3,1,TRUE,TRUE,0.6723460664,0.0280433995,0.9655586918,0.0760308025,translator
metoprolol,Metoprolol,6,3,1,TRUE,TRUE,0.861747866,0.0640495872,0.9942840825,0.0926453752,translator
oseltamivir,Oseltamivir,6,3,1,TRUE,TRUE,0.8517956978,0.042775238,0.9933684478,0.2081478265,translator
propranolol,Propranolol,6,3,1,TRUE,TRUE,0.788774039,0.1357700094,0.9937726429,0.1491510275,translator
pyridoxine,Pyridoxine,6,3,1,TRUE,TRUE,0.6109679931,0.0237047091,0.9841886318,0.1022867259,translator
sertraline,Sertraline,6,3,1,TRUE,TRUE,0.9614458593,0.3172869976,0.996007207,0.244545753,translator
triamcinolone,Triamcinolone,6,3,1,TRUE,TRUE,0.5888813448,0.119218451,0.9789433083,0.2193786788,translator
atomoxetine,Atomoxetine,5,3,1,TRUE,TRUE,0.9513689759,0.180911169,0.9950897129,0.1162020434,translator
calcitriol,Calcitriol,5,3,1,TRUE,TRUE,0.6816545567,0.5619534621,0.9936151566,0.0923202405,translator
captopril,Captopril,5,3,1,TRUE,TRUE,0.7799922947,0.0131532624,0.9497432391,0.3746442721,translator
cholecalciferol,Cholecalciferol,5,3,1,TRUE,TRUE,0.8134148147,0.6838529594,0.9962420436,0.1390411203,translator
desloratadine,Desloratadine,5,3,1,TRUE,TRUE,0.9515826447,0.5304552257,0.9964683281,0.2461555871,translator
dextromethorphan,Dextromethorphan,5,3,1,TRUE,TRUE,0.9886275675,0.0840524721,0.9960540281,0.0614230045,translator
ezetimibe,Ezetimibe,5,3,1,TRUE,TRUE,0.6278032534,0.7613404688,0.9880556676,0.3306045672,translator
fexofenadine,Fexofenadine,5,3,1,TRUE,TRUE,0.5314132718,0.7353973316,0.9207860081,0.0779507963,translator
gemfibrozil,Gemfibrozil,5,3,1,TRUE,TRUE,0.8398341568,0.0328028226,0.99547686,0.3420566783,translator
guanfacine,Guanfacine,5,3,1,TRUE,TRUE,0.8340246718,0.0259473329,0.9923475773,0.3166628201,translator
levetiracetam,Levetiracetam,5,3,1,TRUE,TRUE,0.9607792809,0.0097640071,0.9933469927,0.2342170099,translator
lidocaine,Lidocaine,5,3,1,TRUE,TRUE,0.9694263247,0.0183069514,0.9956339379,0.1326217154,translator
memantine,Memantine,5,3,1,TRUE,TRUE,0.9400819066,0.0294407014,0.9926757514,0.1627531291,translator
methylprednisolone,Methylprednisolone,5,3,1,TRUE,TRUE,0.7335488199,0.3280883536,0.9922664252,0.1773062578,translator
midodrine,Midodrine,5,3,1,TRUE,TRUE,0.685420229,0.025942967,0.9901421574,0.0886316972,translator
alfacalcidol,Alfacalcidol,4,3,1,TRUE,TRUE,0.7288483093,0.6795795242,0.9954002561,0.1097185194,translator
amantadine,Amantadine,4,3,1,TRUE,TRUE,0.9494914151,0.0304818672,0.9941996484,0.1797193618,translator
bisoprolol,Bisoprolol,4,3,1,TRUE,TRUE,0.6296933154,0.1428506074,0.992196794,0.1034332167,translator
clemastine,Clemastine,4,3,1,TRUE,TRUE,0.9751294891,0.7020397677,0.9943652886,0.0835425559,translator
flunarizine,Flunarizine,4,3,1,TRUE,TRUE,0.9641205783,0.8595664498,0.9925489413,0.2193789608,translator
hydroxyurea,Hydroxyurea,4,3,1,TRUE,TRUE,0.7952785285,0.033922687,0.9799940295,0.2619634835,translator
lisdexamfetamine,Lisdexamfetamine,4,3,1,TRUE,TRUE,0.8191429104,0.0379317437,0.99162398,0.1261776403,translator
naloxone,Naloxone,4,3,1,TRUE,TRUE,0.9783099393,0.0434563719,0.9923699046,0.0632130671,translator
