Main Name	DrugBank:Identifiers	score	Human Intestinal Absorption	Blood Brain Barrier	P-glycoprotein Inhibition	Drug Induced Liver Injury	CYP3A4 Inhibition	CYP2C9 Inhibition	DrugBank:Routes	DrugBank:FDA Approved	Less than $500	Pediatric Safety
acetaminophen	{'cas-number': '103-90-2', 'ChEBI': '46195', 'ChEMBL': 'CHEMBL112', 'drugbank-id': 'DB00316', 'InChIKey': 'RZVAJINKPMORJF-UHFFFAOYSA-N', 'PubChem Compound': '1983', 'PubChem Substance': '46506142', 'unii': '362O9ITL9D'}	6	0.9927615137	0.9359446613	0.0124677374	0.2638209078	0.0318147688	0.0334468611	{'topical', 'ophthalmic', 'nasal', 'rectal', 'respiratory (inhalation)', 'not applicable', 'intravenous', 'oral'}	TRUE	TRUE	TRUE
acetylcysteine	{'cas-number': '616-91-1', 'ChEBI': '28939', 'ChEMBL': 'CHEMBL600', 'drugbank-id': 'DB06151', 'InChIKey': 'PWKSKIMOESPYIA-BYPYZUCNSA-N', 'PubChem Compound': '12035', 'PubChem Substance': '99443235', 'unii': 'WYQ7N0BPYC'}	6	0.9750061924	0.6884013068	0.0062169445	0.2103022993	0.00087124	0.0015382506	{'respiratory (inhalation)', 'intravenous', 'intramuscular', 'oral'}	TRUE	TRUE	TRUE
amitriptyline	{'cas-number': '50-48-6', 'ChEBI': '2666', 'ChEMBL': 'CHEMBL629', 'drugbank-id': 'DB00321', 'InChIKey': 'KRMDCWKBEZIMAB-UHFFFAOYSA-N', 'PubChem Compound': '2160', 'PubChem Substance': '46508798', 'unii': '1806D8D52K'}	6	0.9969217344	0.986974623	0.6932192991	0.1981365699	0.2581484595	0.0760936865	{'topical', 'oral'}	TRUE	TRUE	TRUE
azelaic acid	{'cas-number': '123-99-9', 'ChEBI': '48131', 'ChEMBL': 'CHEMBL1238', 'drugbank-id': 'DB00548', 'InChIKey': 'BDJRBEYXGGNYIS-UHFFFAOYSA-N', 'PubChem Compound': '2266', 'PubChem Substance': '46506284', 'unii': 'F2VW3D43YT'}	6	0.7078978633	0.7754936393	0.0081235747	0.1871451921	0.0003309446	0.0054149154	{'topical', 'cutaneous', 'oral'}	TRUE	TRUE	TRUE
betamethasone	{'cas-number': '378-44-9', 'ChEBI': '3077', 'ChEMBL': 'CHEMBL632', 'drugbank-id': 'DB00443', 'InChIKey': 'UREBDLICKHMUKA-DVTGEIKXSA-N', 'PubChem Compound': '9782', 'PubChem Substance': '46505155', 'unii': '9842X06Q6M'}	6	0.9932225293	0.7130232304	0.1704179436	0.1705295288	0.0528670516	0.0050397405	{'intravascular', 'epidural', 'intralesional', 'intravenous', 'intramuscular', 'intraspinal', 'perineural', 'intradermal', 'auricular (otic)', 'oral', 'intrathecal', 'ophthalmic', 'cutaneous', 'intra-articular', 'topical', 'rectal', 'intrabursal', 'soft tissue', 'infiltration'}	TRUE	TRUE	TRUE
biotin	{'cas-number': '58-85-5', 'ChEBI': '15956', 'ChEMBL': 'CHEMBL857', 'drugbank-id': 'DB00121', 'InChIKey': 'YBJHBAHKTGYVGT-ZKWXMUAHSA-N', 'PubChem Compound': '171548', 'PubChem Substance': '46508694', 'unii': '6SO6U10H04'}	6	0.9453523911	0.610813498	0.016921762	0.2349649545	0.0026427428	0.0006083571	{'topical', 'intravenous', 'cutaneous', 'oral'}	TRUE	TRUE	TRUE
budesonide	{'cas-number': '51333-22-3', 'ChEBI': '3207', 'ChEMBL': 'CHEMBL1370', 'drugbank-id': 'DB01222', 'InChIKey': 'VOVIALXJUBGFJZ-KWVAZRHASA-N', 'PubChem Compound': '5281004', 'PubChem Substance': '46504869', 'unii': 'Q3OKS62Q6X'}	6	0.9923607114	0.9707924453	0.2514899763	0.2823980732	0.235625809	0.0220436459	{'nasal', 'cutaneous', 'rectal', 'respiratory (inhalation)', 'not applicable', 'oral'}	TRUE	TRUE	TRUE
buspirone	{'cas-number': '36505-84-7', 'ChEBI': '3223', 'ChEMBL': 'CHEMBL49', 'drugbank-id': 'DB00490', 'InChIKey': 'QWCRAEMEVRGPNT-UHFFFAOYSA-N', 'PubChem Compound': '2477', 'PubChem Substance': '46508113', 'unii': 'TK65WKS8HL'}	6	0.9926834405	0.9705618964	0.3264386712	0.178868901	0.1049201288	0.1426598241	{'not applicable', 'oral'}	TRUE	TRUE	TRUE
calcium chloride	{'cas-number': '10043-52-4', 'ChEBI': '3312', 'ChEMBL': 'CHEMBL1200668', 'drugbank-id': 'DB01164', 'InChIKey': 'UXVMQQNJUSDDNG-UHFFFAOYSA-L', 'PubChem Compound': '5284359', 'PubChem Substance': '46507257', 'unii': 'OFM21057LP'}	6	0.9872220764	0.9443112755	0.0240266812	0.1077332311	0.0062605379	0.0078550527	{'intrathecal', 'ophthalmic', 'topical', 'irrigation', 'intravenous', 'intraventricular', 'buccal', 'dental', 'intra-arterial', 'intraocular', 'parenteral', 'intraperitoneal', 'oral', 'hemodialysis'}	TRUE	TRUE	TRUE
citalopram	{'cas-number': '59729-33-8', 'ChEBI': '77397', 'ChEMBL': 'CHEMBL549', 'drugbank-id': 'DB00215', 'InChIKey': 'WSEQXVZVJXJVFP-UHFFFAOYSA-N', 'PubChem Compound': '2771', 'PubChem Substance': '46508746', 'unii': '0DHU5B8D6V'}	6	0.9962642982	0.967824751	0.4689888723	0.1195273321	0.1445243028	0.0180551374	{'oral'}	TRUE	TRUE	TRUE
clonidine	{'cas-number': '4205-90-7', 'ChEBI': '3757', 'ChEMBL': 'CHEMBL134', 'drugbank-id': 'DB00575', 'InChIKey': 'GJSURZIOUXUGAL-UHFFFAOYSA-N', 'PubChem Compound': '2803', 'PubChem Substance': '46508119', 'unii': 'MN3L5RMN02'}	6	0.9942425168	0.9335289405	0.0255770787	0.2648746612	0.0038707304	0.0093848903	{'epidural', 'transdermal', 'intravenous', 'oral'}	TRUE	TRUE	TRUE
cyproheptadine	{'cas-number': '129-03-3', 'ChEBI': '4046', 'ChEMBL': 'CHEMBL516', 'drugbank-id': 'DB00434', 'InChIKey': 'JJCFRYNCJDLXIK-UHFFFAOYSA-N', 'PubChem Compound': '2913', 'PubChem Substance': '46508613', 'unii': '2YHB6175DO'}	6	0.9953253268	0.9843415362	0.8798690186	0.2946239781	0.3488762419	0.1334409235	{'not applicable', 'oral'}	TRUE	TRUE	TRUE
desvenlafaxine	{'cas-number': '93413-62-8', 'ChEBI': '83527', 'ChEMBL': 'CHEMBL1118', 'drugbank-id': 'DB06700', 'InChIKey': 'KYYIDSXMWOZKMP-UHFFFAOYSA-N', 'PubChem Compound': '125017', 'PubChem Substance': '99443254', 'unii': 'NG99554ANW'}	6	0.9947910187	0.809410056	0.0332870008	0.0593383003	0.0097013513	0.0068041277	{'oral'}	TRUE	TRUE	TRUE
escitalopram	{'cas-number': '128196-01-0', 'ChEBI': '36791', 'ChEMBL': 'CHEMBL1508', 'drugbank-id': 'DB01175', 'InChIKey': 'WSEQXVZVJXJVFP-FQEVSTJZSA-N', 'PubChem Compound': '146570', 'PubChem Substance': '46507040', 'unii': '4O4S742ANY'}	6	0.9933702336	0.9620053659	0.1783148439	0.1387503863	0.025194368	0.0036795028	{'oral'}	TRUE	TRUE	TRUE
fluoxetine	{'cas-number': '54910-89-3', 'ChEBI': '86990', 'ChEMBL': 'CHEMBL41', 'drugbank-id': 'DB00472', 'InChIKey': 'RTHCYVBBDHJXIQ-UHFFFAOYSA-N', 'PubChem Compound': '3386', 'PubChem Substance': '46507902', 'unii': '01K63SUP8D'}	6	0.9964001261	0.9584307697	0.4218854223	0.1507583697	0.2429653033	0.1805417506	{'not applicable', 'oral'}	TRUE	TRUE	TRUE
gabapentin	{'cas-number': '60142-96-3', 'ChEBI': '42797', 'ChEMBL': 'CHEMBL940', 'drugbank-id': 'DB00996', 'InChIKey': 'UGJMXCAKCUNAIE-UHFFFAOYSA-N', 'PubChem Compound': '3446', 'PubChem Substance': '46506529', 'unii': '6CW7F3G59X'}	6	0.9949511682	0.9167903331	0.0078341423	0.1078927868	0.0055762987	0.0137754851	{'topical', 'not applicable', 'cutaneous', 'oral'}	TRUE	TRUE	TRUE
glutamic acid	{'cas-number': '56-86-0', 'ChEBI': '16015', 'ChEMBL': 'CHEMBL575060', 'drugbank-id': 'DB00142', 'InChIKey': 'WHUUTDBJXJRKMK-VKHMYHEASA-N', 'PubChem Compound': '33032', 'PubChem Substance': '46505816', 'unii': '3KX376GY7L'}	6	0.9730797613	0.5129646899	0.0080917982	0.1406333591	0.0006902313	0.0062250351	{'topical', 'intravenous', 'cutaneous', 'oral'}	TRUE	TRUE	TRUE
