DrugBank:Main Name,Score,Pre-clinician score,DrugBank:FDA Approved,Less than $500,Pediatric Safety,Blood Brain Barrier,P-glycoprotein Inhibition,Human Intestinal Absorption,Drug Induced Liver Injury,Data Source
Magnesium oxide,#N/A,3,1,TRUE,TRUE,0.9463019302,0.0201474446,0.9917731801,0.1253683856,translator
Acetylcysteine,6,3,1,TRUE,TRUE,0.6884013068,0.0062169445,0.9750061924,0.2103022993,translator
Amitriptyline,6,3,1,TRUE,TRUE,0.986974623,0.6932192991,0.9969217344,0.1981365699,translator
Azelaic acid,6,3,1,TRUE,TRUE,0.7754936393,0.0081235747,0.7078978633,0.1871451921,translator
Betamethasone,6,3,1,TRUE,TRUE,0.7130232304,0.1704179436,0.9932225293,0.1705295288,translator
Budesonide,6,3,1,TRUE,TRUE,0.9707924453,0.2514899763,0.9923607114,0.2823980732,translator
Buspirone,6,3,1,TRUE,TRUE,0.9705618964,0.3264386712,0.9926834405,0.178868901,translator
Clonidine,6,3,1,TRUE,TRUE,0.9335289405,0.0255770787,0.9942425168,0.2648746612,translator
Cyproheptadine,6,3,1,TRUE,TRUE,0.9843415362,0.8798690186,0.9953253268,0.2946239781,translator
Escitalopram,6,3,1,TRUE,TRUE,0.9620053659,0.1783148439,0.9933702336,0.1387503863,translator
Fluvoxamine,6,3,1,TRUE,TRUE,0.9028752607,0.070158972,0.9941701622,0.1366649673,translator
Gabapentin,6,3,1,TRUE,TRUE,0.9167903331,0.0078341423,0.9949511682,0.1078927868,translator
Glutamic acid,6,3,1,TRUE,TRUE,0.5129646899,0.0080917982,0.9730797613,0.1406333591,translator
Lovastatin,6,3,1,TRUE,TRUE,0.8621350857,0.8144671965,0.9937657273,0.2204560961,translator
Metformin,6,3,1,TRUE,TRUE,0.6405290761,0.0299544577,0.9711515714,0.0779986519,translator
Metoprolol,6,3,1,TRUE,TRUE,0.8465716479,0.0646611352,0.9956387745,0.0883883672,translator
Oseltamivir,6,3,1,TRUE,TRUE,0.8491089457,0.0401154727,0.9942805098,0.2192931539,translator
Propranolol,6,3,1,TRUE,TRUE,0.6028237075,0.1423310062,0.9963829418,0.1399007758,translator
Pyridoxine,6,3,1,TRUE,TRUE,0.6089579299,0.0238434105,0.9864176723,0.1069265592,translator
Sertraline,6,3,1,TRUE,TRUE,0.9602892628,0.2864629205,0.9963898118,0.270668638,translator
Triamcinolone,6,3,1,TRUE,TRUE,0.5382120628,0.1016503443,0.9874542498,0.2060012842,translator
Atomoxetine,5,3,1,TRUE,TRUE,0.9487553435,0.1911493634,0.9964816818,0.1279725354,translator
Calcitriol,5,3,1,TRUE,TRUE,0.654870169,0.5502206376,0.9939736994,0.078336732,translator
Captopril,5,3,1,TRUE,TRUE,0.8258138684,0.0117413753,0.9882524703,0.3662746045,translator
Desloratadine,5,3,1,TRUE,TRUE,0.9528342775,0.5470874601,0.9969895903,0.2490422026,translator
Dextromethorphan,5,3,1,TRUE,TRUE,0.9896614586,0.0770673133,0.9964811651,0.0554307628,translator
Ezetimibe,5,3,1,TRUE,TRUE,0.6207373187,0.7595394224,0.9911352585,0.408260823,translator
Gemfibrozil,5,3,1,TRUE,TRUE,0.87370697,0.0268158801,0.9961581659,0.3259057196,translator
Levetiracetam,5,3,1,TRUE,TRUE,0.9616512049,0.0088545982,0.9936802522,0.2446875315,translator
Lidocaine,5,3,1,TRUE,TRUE,0.9607020048,0.0176692955,0.9957226889,0.1275482263,translator
Memantine,5,3,1,TRUE,TRUE,0.9530087669,0.0304799166,0.9931982458,0.1627019182,translator
Methylprednisolone,5,3,1,TRUE,TRUE,0.6799579734,0.3370016974,0.994588829,0.1512332937,translator
Amantadine,4,3,1,TRUE,TRUE,0.9590178545,0.0316617165,0.9947038662,0.1653867416,translator
Bisoprolol,4,3,1,TRUE,TRUE,0.6172274123,0.155781309,0.9945007443,0.0984139437,translator
Flunarizine,4,3,1,TRUE,TRUE,0.9601832251,0.863036718,0.99469312,0.2053788872,translator
Hydroxyurea,4,3,1,TRUE,TRUE,0.8049959977,0.0340178223,0.9791829144,0.2577863354,translator
Naloxone,4,3,1,TRUE,TRUE,0.9766973501,0.0362552897,0.9946825046,0.0492715036,translator
Progesterone,4,3,1,TRUE,TRUE,0.224789552,0.601473929,0.9967814351,0.4204950912,translator
Pseudoephedrine,4,3,1,TRUE,TRUE,0.5740151209,0.0155872898,0.9958433434,0.0699944505,translator
Succinic acid,4,3,1,TRUE,TRUE,0.741421301,0.0070935316,0.8118549444,0.1835493921,translator
Terbinafine,4,3,1,TRUE,TRUE,0.9522445857,0.3129907595,0.9959512213,0.3939757448,translator
Tretinoin,4,3,1,TRUE,TRUE,0.8323522311,0.1676068926,0.9944326323,0.2686619844,translator
Cilostazol,3,3,1,TRUE,TRUE,0.9068267925,0.5639527137,0.9946691935,0.29056183,translator
Eplerenone,3,3,1,TRUE,TRUE,0.9091744589,0.3319196378,0.9905279282,0.3996676024,translator
Felbamate,3,3,1,TRUE,TRUE,0.9401317832,0.0411029686,0.9945584563,0.4436324857,translator
gamma-Hydroxybutyric acid,3,3,1,TRUE,TRUE,0.6615746959,0.0086696188,0.9493179992,0.0738772617,translator
Guanabenz,3,3,1,TRUE,TRUE,0.6274841562,0.0495401269,0.9948858679,0.3395251941,translator
Metyrapone,3,3,1,TRUE,TRUE,0.9631841756,0.0192240655,0.9961199948,0.2869760504,translator
Misoprostol,3,3,1,TRUE,TRUE,0.721472987,0.4797544826,0.9890574879,0.1211819031,translator
Moclobemide,3,3,1,TRUE,TRUE,0.9740061292,0.0227663935,0.9970012761,0.2952732149,translator
Nitroglycerin,3,3,1,TRUE,TRUE,0.685056524,0.0294825245,0.963436814,0.3016741982,translator
Oxymetazoline,3,3,1,TRUE,TRUE,0.885572384,0.5717762051,0.9962165078,0.188318037,translator
Paricalcitol,3,3,1,TRUE,TRUE,0.6612812079,0.5251294996,0.9939686765,0.112862366,translator
Pentobarbital,3,3,1,TRUE,TRUE,0.9316901669,0.0229792609,0.9933293597,0.422990636,translator
Perphenazine,3,3,1,TRUE,TRUE,0.9899062487,0.8592663344,0.9955163938,0.4830721924,translator
Pilocarpine,3,3,1,TRUE,TRUE,0.8699254342,0.0298136803,0.9940640605,0.2912297216,translator
Praziquantel,3,3,1,TRUE,TRUE,0.9657708695,0.1434812088,0.9961404791,0.3002681173,translator
Primidone,3,3,1,TRUE,TRUE,0.9292865703,0.0135331912,0.9938060534,0.2819771311,translator
Pyridostigmine,3,3,1,TRUE,TRUE,0.9307588129,0.0173696273,0.9862945272,0.2802633548,translator
