Patient symptoms,,Translator query,Translator raw hits,Removing anything not a drug,
Intellectual disability,Iwasawa 2019,What drugs may impact conditions related to intellectual disability,647,546,
Cerebral atrophy,Iwasawa 2019,What drugs may impact conditions related to cerebral atrophy,167,127,
Corpus callosum hypoplasia,Iwasawa 2019,What drugs may impact conditions related to hypoplasia of the corpus callosum,125,124,
Delayed myelination,Iwasawa 2019,What drugs may impact conditions related to delayed myelination,121,104,
Spastic diplegia,Iwasawa 2019,What drugs may impact conditions related to spastic diplegia,514,444,
Muscle hypotonia,Platzer 2019,What drugs may impact conditions related to hypotonia,167,30,
Autism,Platzer 2019,What drugs may impact conditions related to autism,881,700,
Movement disorder,,What drugs may impact conditions related to movement disorder,905,769,
Ataxia,Platzer 2019,What drugs may impact conditions related to cerebellar ataxia,797,693,
Unstable gait,Platzer 2019,What drugs may impact conditions related to unsteady gait,125,121,
Spasticity,Platzer 2019,What drugs may impact conditions related to spasticity,219,174,
Dystonia,,What drugs may impact conditions related to generalized dystonia,1083,799,
Stiffness,Platzer 2019,What drugs may impact conditions related to muscle stiffness,108,47,
,,,,,
Conditions Related to JIP3 Function,,,,,
Neuroinflammation,,What drugs may impact conditions related to neuroinflammation,500,407,
Oxidative stress,,What drugs may impact conditions related to increased reactive oxygen species production,591,324,
Neurodevelopmental disorders,,What drugs may impact conditions related to neurodevelopmental disorder,289,219,
Disorders of neurotransmitter transport,,What drugs may impact conditions related to inborn disorder of neurotransmitter metabolism and transport,574,419,
Neurodegenerative disease,,What drugs may impact conditions related to neurodegenerative disease,1155,936,
Axonal neuropathy,,What drugs may impact conditions related to axonal neuropathy,833,633,
,,,,,
Hypothesized Compensatory Pathways,,,,,
SPAG9,JIP4,What chemicals may increase the activity of SPAG9,797,758,
LRRK2,kinase related to parkinsons,What chemicals may decrease the activity of LRRK2,1289,485,
CDK5,,What chemicals may decrease the activity of CDK5,1286,837,
ARF6,paper that shows direct protein interaction with JIP3,What chemicals may increase the activity of ARF6,815,710,
MTOR,receptor for BDNF,What chemicals may decrease the activity of MTOR,1133,170,
NTRK2,receptor for BDNF,What chemicals may increase the activity of NTRK2,908,784,
DRD1,,What chemicals may increase the activity of DRD1,936,388,
DRD2,,What chemicals may increase the activity of DRD2,767,110,
JNK,,What chemicals may decrease the activity of MAPK8,1541,846,
,,,,,
,,,Total raw hits (sum of all raw hits—drugs are counted for each search they appear in),Total drugs (overestimate—drugs are counted for each search they appear in),Actual total drugs and small molecules
,,,19273,12704,7029
